geo_code,geo,time,poblacion
SK,Slovakia,2015,5421349
TR,Türkiye,2015,77695904
UK,United Kingdom,2015,64853393
AL,Albania,2014,2892394
AT,Austria,2014,8507786
BE,Belgium,2014,11180840
BG,Bulgaria,2014,7245677
CH,Switzerland,2014,8139631
CY,Cyprus,2014,858000
CZ,Czechia,2014,10512419
DE,Germany (until 1990 former territory of the FRG),2014,80767463
DK,Denmark,2014,5627235
EE,Estonia,2014,1315819
EL,Greece,2014,10926807
ES,Spain,2014,46512199
FI,Finland,2014,5451270
FR,France,2014,66165980
HR,Croatia,2014,4246809
HU,Hungary,2014,9877365
IE,Ireland,2014,4637852
IS,Iceland,2014,325671
IT,Italy,2014,60782668
LI,LI Liechtenstein,2014,37129
LT,Lithuania,2014,2943472
LU,LU Luxembourg,2014,549680
LV,Latvia,2014,2001468
ME,Montenegro,2014,621521
MK,North Macedonia,2014,2065769
MT,MT Malta,2014,429424
NL,Netherlands,2014,16829289
NO,Norway,2014,5107970
PL,Poland,2014,38017856
PT,Portugal,2014,10427301
RO,Romania,2014,19947311
RS,Serbia,2014,7146759
SE,Sweden,2014,9644864
SI,Slovenia,2014,2061085
SK,Slovakia,2014,5415949
TR,Türkiye,2014,76667864
UK,United Kingdom,2014,64351203
AL,Albania,2013,2897770
AT,Austria,2013,8451860
BE,Belgium,2013,11137974
BG,Bulgaria,2013,7284552
CH,Switzerland,2013,8039060
CY,Cyprus,2013,865878
CZ,Czechia,2013,10516125
DE,Germany (until 1990 former territory of the FRG),2013,80523746
DK,Denmark,2013,5602628
EE,Estonia,2013,1320174
EL,Greece,2013,11003615
ES,Spain,2013,46727890
FI,Finland,2013,5426674
FR,France,2013,65600350
HR,Croatia,2013,4262140
HU,Hungary,2013,9908798
IE,Ireland,2013,4609779
IS,Iceland,2013,321857
IT,Italy,2013,59685227
LI,LI Liechtenstein,2013,36838
LT,Lithuania,2013,2971905
LU,LU Luxembourg,2013,537039
LV,Latvia,2013,2023825
ME,Montenegro,2013,620893
MK,North Macedonia,2013,2062294
MT,MT Malta,2013,422509
NL,Netherlands,2013,16779575
NO,Norway,2013,5051275
PL,Poland,2013,38062535
PT,Portugal,2013,10487289
RO,Romania,2013,20020074
RS,Serbia,2013,7181505
SE,Sweden,2013,9555893
SI,Slovenia,2013,2058821
SK,Slovakia,2013,5410836
TR,Türkiye,2013,75627384
UK,United Kingdom,2013,63905342
AL,Albania,2012,2903008
AT,Austria,2012,8408121
BE,Belgium,2012,11075889
BG,Bulgaria,2012,7327224
CH,Switzerland,2012,7954662
CY,Cyprus,2012,862011
CZ,Czechia,2012,10505445
DE,Germany (until 1990 former territory of the FRG),2012,80327900
DK,Denmark,2012,5580516
EE,Estonia,2012,1325217
EL,Greece,2012,11086406
ES,Spain,2012,46818219
FI,Finland,2012,5401267
FR,France,2012,65276983
HR,Croatia,2012,4275984
HU,Hungary,2012,9931925
IE,Ireland,2012,4589287
IS,Iceland,2012,319575
IT,Italy,2012,59394207
LI,LI Liechtenstein,2012,36475
LT,Lithuania,2012,3003641
LU,LU Luxembourg,2012,524853
LV,Latvia,2012,2044813
ME,Montenegro,2012,620308
MK,North Macedonia,2012,2059794
MT,MT Malta,2012,417546
NL,Netherlands,2012,16730348
NO,Norway,2012,4985870
PL,Poland,2012,38063792
PT,Portugal,2012,10542398
RO,Romania,2012,20095996
RS,Serbia,2012,7216649
SE,Sweden,2012,9482855
SI,Slovenia,2012,2055496
SK,Slovakia,2012,5404322
TR,Türkiye,2012,74724269
UK,United Kingdom,2012,63495088
AL,Albania,2011,2907361
AT,Austria,2011,8375164
BE,Belgium,2011,11000638
BG,Bulgaria,2011,7369431
CH,Switzerland,2011,7870134
CY,Cyprus,2011,839751
CZ,Czechia,2011,10486731
DE,Germany (until 1990 former territory of the FRG),2011,80222065
DK,Denmark,2011,5560628
EE,Estonia,2011,1329660
EL,Greece,2011,11123392
ES,Spain,2011,46667174
FI,Finland,2011,5375276
FR,France,2011,64978721
HR,Croatia,2011,4289857
HU,Hungary,2011,9985722
IE,Ireland,2011,4570881
IS,Iceland,2011,318452
IT,Italy,2011,59364690
LI,LI Liechtenstein,2011,36149
LT,Lithuania,2011,3052588
LU,LU Luxembourg,2011,511840
LV,Latvia,2011,2074605
ME,Montenegro,2011,619850
MK,North Macedonia,2011,2057284
MT,MT Malta,2011,414989
NL,Netherlands,2011,16655799
NO,Norway,2011,4920305
PL,Poland,2011,38062718
PT,Portugal,2011,10572721
RO,Romania,2011,20199059
RS,Serbia,2011,7251549
SE,Sweden,2011,9415570
SI,Slovenia,2011,2050189
SK,Slovakia,2011,5392446
TR,Türkiye,2011,73722988
UK,United Kingdom,2011,63022532
AL,Albania,2010,2918674
AT,Austria,2010,8351643
BE,Belgium,2010,10839905
BG,Bulgaria,2010,7421766
CH,Switzerland,2010,7785806
CY,Cyprus,2010,819140
CZ,Czechia,2010,10462088
DE,Germany (until 1990 former territory of the FRG),2010,81802257
DK,Denmark,2010,5534738
EE,Estonia,2010,1333290
EL,Greece,2010,11119289
ES,Spain,2010,46486619
FI,Finland,2010,5351427
FR,France,2010,64658856
HR,Croatia,2010,4302847
HU,Hungary,2010,10014324
IE,Ireland,2010,4549428
IS,Iceland,2010,317630
IT,Italy,2010,59190143
LI,LI Liechtenstein,2010,35894
LT,Lithuania,2010,3141976
LU,LU Luxembourg,2010,502066
LV,Latvia,2010,2120504
ME,Montenegro,2010,619001
MK,North Macedonia,2010,2052722
MT,MT Malta,2010,414027
NL,Netherlands,2010,16574989
NO,Norway,2010,4858199
PL,Poland,2010,38022869
PT,Portugal,2010,10573479
RO,Romania,2010,20294683
RS,Serbia,2010,7306677
SE,Sweden,2010,9340682
SI,Slovenia,2010,2046976
SK,Slovakia,2010,5390410
